1,1
1,2
2,3
2,4
3,5
4,6
5,7
6,8
7,9
7,10
7,11
8,12
9,13
10,14
11,15
11,16
12,17
12,18
13,19
14,20
14,21
15,22
16,23
16,24
17,25
18,26
19,27
19,28
19,29
20,30
20,31
21,32
21,33
22,34
23,35
24,36
24,37
25,38
25,39
26,40
27,41
28,42
28,43
29,44
29,45
30,46
31,47
32,48
33,49
33,50
34,51
35,52
35,53
36,54
37,55
37,56
38,57
39,58
39,59
40,60
41,61
41,62
42,63
43,64
44,65
45,66
45,67
45,68
46,69
46,70
47,71
47,72
47,73
48,74
49,75
49,76
49,77
50,78
50,79
50,80
51,81
52,82
52,83
52,84
53,85
53,86
53,87
54,88
55,89
56,90
56,91
56,92
57,93
57,94
57,95
58,96
58,97
59,98
59,99
59,100
60,101
60,102
61,103
62,104
63,105
64,106
65,107
66,108
67,109
67,110
67,111
68,112
69,113
69,114
70,115
